Id,SalePrice
1461,117251.0
1462,166296.0
1463,207018.0
1464,236145.0
1465,198842.0
1466,197256.0
1467,175216.0
1468,204375.0
1469,186408.0
1470,136369.0
1471,194890.0
1472,110137.0
1473,112982.0
1474,151086.0
1475,123966.0
1476,309820.0
1477,253698.0
1478,286768.0
1479,288418.0
1480,334770.0
1481,287101.0
1482,250652.0
1483,207814.0
1484,213455.0
1485,237278.0
1486,238664.0
1487,292065.0
1488,234017.0
1489,227071.0
1490,248785.0
1491,225496.0
1492,92702.0
1493,196468.0
1494,257073.0
1495,250653.0
1496,243348.0
1497,198839.0
1498,200759.0
1499,188668.0
1500,205449.0
1501,206525.0
1502,211940.0
1503,267443.0
1504,248754.0
1505,231730.0
1506,185319.0
1507,222996.0
1508,188458.0
1509,151491.0
1510,167533.0
1511,159162.0
1512,168272.0
1513,127574.0
1514,130178.0
1515,158135.0
1516,154521.0
1517,181771.0
1518,123674.0
1519,210088.0
1520,149521.0
1521,151737.0
1522,174549.0
1523,112557.0
1524,113008.0
1525,117699.0
1526,118833.0
1527,116475.0
1528,117228.0
1529,151957.0
1530,189271.0
1531,157931.0
1532,97104.0
1533,136898.0
1534,117012.0
1535,157201.0
1536,105016.0
1537,82591.0
1538,142543.0
1539,150513.0
1540,78597.0
1541,132173.0
1542,114042.0
1543,161780.0
1544,78286.0
1545,100704.0
1546,133412.0
1547,125619.0
1548,109483.0
1549,123001.0
1550,117955.0
1551,115855.0
1552,130984.0
1553,142724.0
1554,131900.0
1555,172989.0
1556,111229.0
1557,81232.0
1558,127725.0
1559,98294.0
1560,130019.0
1561,103139.0
1562,158660.0
1563,141435.0
1564,174697.0
1565,164350.0
1566,228639.0
1567,96684.0
1568,264264.0
1569,148743.0
1570,164738.0
1571,123679.0
1572,147879.0
1573,255228.0
1574,129236.0
1575,237007.0
1576,259611.0
1577,215808.0
1578,142035.0
1579,165321.0
1580,208912.0
1581,186088.0
1582,125654.0
1583,262784.0
1584,234056.0
1585,202378.0
1586,88054.0
1587,119523.0
1588,159551.0
1589,107630.0
1590,129770.0
1591,114350.0
1592,137460.0
1593,139358.0
1594,91772.0
1595,131471.0
1596,211247.0
1597,176361.0
1598,222410.0
1599,202833.0
1600,187530.0
1601,74513.0
1602,115055.0
1603,104477.0
1604,291360.0
1605,231790.0
1606,145345.0
1607,141463.0
1608,258634.0
1609,218119.0
1610,193393.0
1611,155134.0
1612,199304.0
1613,187471.0
1614,172165.0
1615,116966.0
1616,109380.0
1617,126831.0
1618,134498.0
1619,155606.0
1620,149724.0
1621,142136.0
1622,159490.0
1623,245367.0
1624,238724.0
1625,121189.0
1626,180360.0
1627,214826.0
1628,276406.0
1629,191235.0
1630,273661.0
1631,224513.0
1632,227064.0
1633,212999.0
1634,219625.0
1635,212078.0
1636,186577.0
1637,194120.0
1638,201057.0
1639,188306.0
1640,215024.0
1641,182923.0
1642,258553.0
1643,232522.0
1644,246266.0
1645,191540.0
1646,180911.0
1647,162260.0
1648,138454.0
1649,162172.0
1650,125924.0
1651,122728.0
1652,113567.0
1653,113250.0
1654,149396.0
1655,131842.0
1656,148539.0
1657,147637.0
1658,174231.0
1659,119743.0
1660,192487.0
1661,325713.0
1662,295997.0
1663,296946.0
1664,322378.0
1665,268576.0
1666,295603.0
1667,310511.0
1668,302238.0
1669,287989.0
1670,291499.0
1671,267943.0
1672,303990.0
1673,277021.0
1674,243347.0
1675,240370.0
1676,245231.0
1677,246956.0
1678,337972.0
1679,314995.0
1680,293824.0
1681,259466.0
1682,289650.0
1683,227057.0
1684,226705.0
1685,237868.0
1686,229757.0
1687,224981.0
1688,247416.0
1689,237977.0
1690,244619.0
1691,240474.0
1692,269513.0
1693,218494.0
1694,220626.0
1695,188729.0
1696,258222.0
1697,197889.0
1698,279224.0
1699,274445.0
1700,264643.0
1701,258628.0
1702,238689.0
1703,246722.0
1704,254079.0
1705,281353.0
1706,309301.0
1707,244045.0
1708,214397.0
1709,251649.0
1710,240679.0
1711,286122.0
1712,269280.0
1713,241442.0
1714,221781.0
1715,228918.0
1716,196541.0
1717,205871.0
1718,152993.0
1719,235917.0
1720,226694.0
1721,180876.0
1722,146205.0
1723,175308.0
1724,225429.0
1725,256296.0
1726,213878.0
1727,175466.0
1728,205181.0
1729,186460.0
1730,148796.0
1731,127884.0
1732,141921.0
1733,125475.0
1734,120661.0
1735,159394.0
1736,129930.0
1737,237515.0
1738,251077.0
1739,225586.0
1740,254573.0
1741,242141.0
1742,198463.0
1743,206242.0
1744,267896.0
1745,197601.0
1746,189739.0
1747,217811.0
1748,209871.0
1749,157517.0
1750,133758.0
1751,253072.0
1752,139085.0
1753,140826.0
1754,185642.0
1755,192390.0
1756,126173.0
1757,129062.0
1758,164912.0
1759,151969.0
1760,169974.0
1761,158872.0
1762,174154.0
1763,197205.0
1764,127741.0
1765,129370.0
1766,189497.0
1767,181744.0
1768,152203.0
1769,167622.0
1770,166094.0
1771,129141.0
1772,120919.0
1773,147752.0
1774,158800.0
1775,151585.0
1776,126025.0
1777,110986.0
1778,163180.0
1779,135105.0
1780,169099.0
1781,128621.0
1782,107764.0
1783,166414.0
1784,132809.0
1785,128462.0
1786,140812.0
1787,182429.0
1788,95005.0
1789,120984.0
1790,119415.0
1791,175084.0
1792,137640.0
1793,129324.0
1794,167456.0
1795,141671.0
1796,180957.0
1797,117329.0
1798,143469.0
1799,111418.0
1800,144797.0
1801,114446.0
1802,119633.0
1803,152934.0
1804,164600.0
1805,144551.0
1806,113352.0
1807,103219.0
1808,119134.0
1809,128321.0
1810,129663.0
1811,78141.0
1812,75427.0
1813,102290.0
1814,98685.0
1815,65108.0
1816,119432.0
1817,139734.0
1818,150127.0
1819,167240.0
